City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,at taj,24.2049,23.2857,12.69,38,0,1.54,LY,1702168623
341,ust'-uda,54.1742,103.0304,-35.27,100,31,0.35,RU,1702168624
342,mananjary,-21.2167,48.3333,23.47,91,100,1.68,MG,1702168624
343,sao joao da barra,-21.6403,-41.0511,23.05,80,100,4.29,BR,1702168624
344,northam,51.0333,-4.2167,12.03,83,99,10.12,GB,1702168624
345,anadyr,64.75,177.4833,-25.72,76,64,4.0,RU,1702168624
346,blythe,33.6103,-114.5964,12.67,12,7,4.52,US,1702168624
347,mil'kovo,55.6078,37.7956,-12.59,94,100,5.34,RU,1702168624
348,shima,24.4478,117.8111,20.01,65,33,0.92,CN,1702168624
349,grand baie,-20.0182,57.5802,25.81,90,100,0.45,MU,1702168624
350,manadhoo,5.7667,73.3833,28.2,76,97,1.48,MV,1702168624
351,garden city,42.3256,-83.331,11.14,72,75,3.6,US,1702168374
352,yakeshi,49.2833,120.7333,-35.26,100,96,1.37,CN,1702168625
353,kingscliff,-28.2667,153.5667,28.74,57,75,5.66,AU,1702168625
354,changde,29.0464,111.6783,15.46,84,100,5.5,CN,1702168625
355,myitkyina,25.3833,97.4,16.27,91,16,0.82,MM,1702168625
356,san jose,37.3394,-121.895,16.14,38,75,4.63,US,1702168340
357,santa elena de uairen,4.6167,-61.1333,20.8,75,21,0.36,VE,1702168625
358,kangding,30.0513,101.9603,6.9,59,0,1.93,CN,1702168626
359,noshiro,40.2039,140.0242,7.46,71,99,4.45,JP,1702168626
360,porto novo,6.4965,2.6036,27.9,84,0,1.78,BJ,1702168626
361,brownfield,33.1812,-102.2744,3.86,35,0,4.14,US,1702168626
362,bonthe,7.5264,-12.505,26.41,86,71,2.67,SL,1702168626
363,brigantine,39.4101,-74.3646,11.68,93,40,1.79,US,1702168626
364,bima,-8.4667,118.7167,30.26,68,75,2.16,ID,1702168626
365,pechora,65.1472,57.2244,-25.64,100,100,0.89,RU,1702168626
366,tolanaro,-25.0319,46.9987,24.04,83,40,3.09,MG,1702168626
367,upington,-28.4478,21.2561,22.21,28,0,5.66,ZA,1702168598
368,roma,43.2128,-75.4557,11.16,79,100,3.6,US,1702168499
369,batu pahat,1.8548,102.9325,25.91,89,100,1.9,MY,1702168627
370,lenah valley,-42.8628,147.2799,18.19,49,0,4.63,AU,1702168627
371,rokycany,49.7427,13.5946,2.36,100,100,2.24,CZ,1702168627
372,los lunas,34.8062,-106.7334,4.92,30,4,0.72,US,1702168503
373,schuyler,42.4167,-76.883,12.99,78,100,3.91,US,1702168627
374,sailana,23.4667,74.9167,15.63,69,5,2.17,IN,1702168627
375,nizhniy ingash,56.2,96.53,-32.94,100,31,0.83,RU,1702168627
376,kill devil hills,36.0307,-75.676,16.66,77,0,2.57,US,1702168627
377,tayoltita,24.0833,-105.9333,16.36,52,0,1.23,MX,1702168627
378,antsiranana,-12.2787,49.2917,25.31,87,100,6.07,MG,1702168628
379,kothi,24.75,80.7833,15.27,62,0,1.68,IN,1702168628
380,kemin,42.7846,75.6892,-9.64,76,100,2.28,KG,1702168628
381,lucas,41.6501,-83.6666,11.98,68,100,3.6,US,1702168380
382,greenville,35.6127,-77.3663,17.3,87,0,3.6,US,1702168547
383,qulsary,46.9531,54.0198,-4.89,50,100,9.24,KZ,1702168628
384,adrar,20.5022,-10.0711,19.09,29,100,4.96,MR,1702168628
385,callao,-12.0667,-77.15,22.62,77,20,6.69,PE,1702168618
386,potchefstroom,-26.7167,27.1,19.24,72,100,5.88,ZA,1702168628
387,saint-philippe,-21.3585,55.7679,24.77,86,38,4.49,RE,1702168628
388,faridpur,23.6,89.8333,17.98,66,0,2.49,BD,1702168628
389,valle de la pascua,9.2155,-66.0073,25.39,76,42,3.26,VE,1702168628
390,kargil,34.5667,76.1,-8.79,44,1,0.97,IN,1702168629
391,zhezqazghan,47.7833,67.7667,-17.8,53,0,2.5,KZ,1702168629
392,tete,-16.1564,33.5867,30.05,45,0,2.06,MZ,1702168629
393,maragogi,-9.0122,-35.2225,26.0,74,100,4.43,BR,1702168629
394,nova vicosa,-17.8919,-39.3719,24.67,87,37,2.58,BR,1702168629
395,hajiganj,23.2511,90.8592,18.25,76,0,1.97,BD,1702168629
396,poso,-1.3959,120.7524,29.59,64,76,0.22,ID,1702168629
397,sao jose da coroa grande,-8.8978,-35.1478,25.98,74,100,4.38,BR,1702168629
398,otukpa,7.0892,7.6499,23.14,25,0,1.36,NG,1702168629
399,ouahigouya,13.5828,-2.4216,22.25,15,38,3.53,BF,1702168629
400,hammerfest,70.6634,23.6821,-8.75,62,97,1.54,NO,1702168629
401,tabas,33.5959,56.9244,9.12,37,0,1.03,IR,1702168630
402,mongoumba,3.6415,18.5936,22.37,79,85,1.18,CF,1702168630
